G_GAN,G_L1,D_loss,
8.898,2427.729,-6.392,
9.313,1919.859,-6.537,
9.946,2368.390,-6.170,
11.189,540.051,-2.477,
8.421,2130.358,-2.931,
7.410,2176.352,-2.412,
9.939,2199.140,-2.894,
8.825,526.055,-2.965,
6.710,578.378,-3.263,
7.710,479.230,-2.902,
10.509,2200.228,-2.576,
6.589,2234.787,-2.812,
5.585,359.330,-2.040,
6.750,638.636,-3.045,
10.281,2620.546,-3.866,
8.448,618.330,-6.008,
5.517,484.547,-1.947,
10.826,783.719,-3.636,
9.625,2300.632,-6.395,
13.255,2148.472,-11.234,
10.446,2232.007,-2.773,
8.762,858.698,-3.499,
7.800,2080.771,-9.209,
7.757,2529.125,-3.141,
5.732,781.556,-5.051,
10.279,2285.202,-4.706,
9.919,2073.562,-2.504,
9.413,2263.288,-2.694,
7.964,589.672,-2.495,
11.530,2207.875,-2.925,
9.784,590.544,-2.406,
9.040,665.805,-2.104,
10.129,2185.351,-8.395,
8.508,543.766,-1.616,
8.777,2316.527,-2.690,
11.658,2269.810,-9.554,
9.225,2438.452,-7.001,
9.027,582.143,-2.452,
9.530,2029.895,-3.429,
11.270,1912.458,-6.601,
8.252,748.784,-2.633,
9.638,612.433,-2.432,
10.276,496.801,-2.457,
9.366,2278.580,-6.171,
9.664,579.027,-3.213,
8.483,391.712,-2.221,
9.167,627.840,-7.109,
8.961,549.638,-6.704,
8.191,673.914,-3.995,
10.591,2243.855,-2.853,
9.921,442.310,-3.080,
7.580,416.950,-1.882,
9.378,723.985,-2.668,
8.576,814.142,-4.520,
6.719,726.458,-6.720,
11.043,2060.976,-6.929,
10.117,2244.899,-5.642,
9.357,639.841,-7.937,
10.411,452.488,-2.534,
9.680,2415.144,-3.102,
8.904,2142.940,-7.652,
8.429,2588.158,-6.836,
4.900,584.264,-6.863,
9.440,599.836,-2.072,
8.517,857.910,-4.741,
10.916,477.814,-2.286,
10.196,2179.272,-3.460,
9.997,2344.147,-3.078,
11.192,2494.475,-2.567,
8.881,488.948,-2.129,
6.877,580.799,-4.931,
11.070,2556.745,-6.736,
10.746,578.290,-2.219,
8.176,525.078,-2.353,
8.950,566.775,-2.918,
9.171,621.625,-1.552,
9.982,1015.685,-5.903,
6.740,507.822,-2.527,
7.678,469.997,-6.090,
10.176,2263.703,-10.447,
8.492,2344.138,-3.618,
8.684,2154.034,-3.151,
10.137,2319.478,-6.761,
9.530,583.132,-2.547,
9.417,2260.279,-2.247,
8.107,489.218,-3.897,
8.278,491.736,-2.985,
3.859,946.229,-4.176,
7.088,716.578,-6.236,
8.789,2002.487,-3.004,
8.415,503.511,-3.821,
7.288,542.789,-2.292,
10.661,2094.805,-6.238,
10.630,2290.005,-3.137,
10.772,568.980,-2.605,
7.981,577.351,-3.595,
8.914,581.462,-2.771,
9.918,903.214,-6.704,
9.221,2275.100,-2.405,
9.626,2250.657,-3.388,
8.766,586.160,-2.754,
8.111,605.367,-7.119,
10.014,1961.815,-5.504,
9.008,618.624,-1.734,
9.495,570.798,-3.100,
7.259,581.208,-4.340,
11.963,467.600,-10.823,
7.794,479.812,-4.976,
10.006,2104.786,-9.817,
8.404,458.143,-2.176,
7.592,2229.000,-2.798,
8.856,544.171,-2.386,
6.305,504.337,-2.470,
8.350,508.970,-7.481,
8.608,2206.772,-3.610,
8.733,2343.301,-3.089,
9.055,527.110,-3.350,
8.261,460.605,-2.640,
9.699,2175.990,-2.153,
7.661,521.532,-1.802,
8.490,505.506,-1.879,
9.478,506.877,-2.518,
7.493,2332.277,-2.756,
8.062,518.610,-3.588,
7.911,734.298,-3.015,
9.839,2581.378,-2.797,
5.992,2142.624,-5.800,
7.559,685.506,-2.032,
9.271,1999.792,-3.775,
7.490,2230.770,-2.354,
7.673,2165.479,-3.272,
8.661,496.755,-2.656,
8.347,2321.997,-3.260,
8.044,552.289,-2.392,
8.895,559.836,-2.933,
9.045,853.664,-7.919,
9.929,1896.571,-8.094,
8.117,2277.608,-3.192,
5.931,649.129,-3.619,
8.227,2365.451,-5.173,
10.101,2332.641,-5.862,
8.677,501.911,-2.666,
8.515,2238.165,-2.817,
6.661,686.281,-2.316,
6.860,1025.163,-3.060,
7.729,668.431,-6.213,
9.247,2135.104,-2.985,
10.477,2073.495,-8.091,
9.195,2407.591,-3.021,
8.581,671.211,-3.148,
8.866,459.661,-3.054,
9.201,2438.699,-6.059,
7.854,2060.384,-5.084,
10.225,510.529,-1.722,
10.261,2645.759,-3.553,
10.303,2474.659,-8.367,
11.044,2356.489,-3.170,
10.464,501.150,-2.076,
9.435,502.552,-5.608,
11.466,2395.306,-2.503,
9.536,2334.139,-5.872,
9.813,2514.310,-5.936,
9.945,638.758,-8.283,
10.998,2367.550,-2.210,
9.305,556.349,-2.295,
8.383,411.356,-3.470,
8.323,2156.429,-3.245,
9.368,2263.470,-7.327,
8.067,1005.819,-7.201,
7.828,2321.317,-2.143,
8.351,506.903,-2.583,
7.337,609.156,-2.168,
11.638,2272.493,-2.828,
8.213,670.197,-6.862,
8.566,1077.750,-2.140,
7.976,2164.868,-2.604,
8.692,2215.140,-2.756,
9.472,2184.547,-3.211,
9.440,2373.735,-5.830,
8.566,2415.800,-2.991,
7.634,2195.339,-3.341,
7.983,2215.328,-2.708,
10.677,1981.657,-7.739,
8.836,2057.275,-2.806,
10.210,529.849,-7.641,
9.266,529.045,-2.080,
8.960,2272.827,-3.315,
9.173,2344.026,-2.497,
8.582,2099.435,-7.221,
8.093,490.910,-5.457,
5.162,1004.830,-2.680,
10.119,472.497,-1.912,
9.295,401.849,-2.905,
8.196,2238.167,-2.767,
8.167,2228.921,-3.173,
8.593,572.124,-7.977,
8.582,676.231,-2.762,
8.754,498.500,-3.314,
7.043,881.806,-6.332,
7.257,606.333,-2.206,
7.710,2417.246,-2.389,
8.885,2277.976,-2.641,
9.353,1093.931,-2.754,
7.690,1060.048,-2.772,
7.011,2175.681,-2.948,
9.394,1829.666,-4.520,
7.643,2263.863,-2.034,
7.079,2220.878,-3.482,
7.356,424.219,-2.429,
7.827,496.318,-2.750,
7.799,347.845,-2.366,
5.696,547.965,-5.121,
9.373,2128.140,-2.480,
8.248,2116.229,-3.481,
7.608,544.673,-2.463,
8.504,1164.731,-7.260,
6.932,2154.850,-6.233,
7.943,667.372,-8.891,
7.434,2230.061,-4.985,
6.387,2175.072,-3.302,
9.270,2312.278,-3.330,
8.909,2173.447,-7.265,
5.998,376.555,-2.346,
8.660,2243.276,-2.520,
9.590,2211.830,-2.263,
7.998,2244.870,-3.552,
8.536,2179.639,-3.204,
7.810,522.446,-1.882,
8.686,490.337,-5.995,
7.586,2390.803,-2.665,
7.079,517.360,-4.732,
6.596,755.803,-6.451,
8.732,492.985,-2.224,
7.683,2119.778,-7.665,
8.758,2220.508,-3.462,
7.005,1052.721,-2.849,
8.328,2295.807,-7.653,
8.423,2197.123,-6.809,
8.243,2263.107,-2.605,
8.897,2374.088,-2.644,
7.711,518.268,-3.367,
7.317,2208.262,-2.746,
7.590,2071.987,-3.650,
9.456,2384.611,-7.297,
8.487,2532.027,-3.516,
7.702,2232.615,-3.878,
6.554,650.842,-6.828,
7.641,472.344,-2.982,
7.168,656.910,-2.565,
9.460,539.975,-2.649,
6.356,2318.699,-3.333,
6.557,927.507,-2.636,
8.075,2309.003,-3.149,
8.209,2099.619,-2.566,
8.260,2116.207,-6.936,
9.033,2144.936,-3.201,
6.983,500.379,-3.017,
6.691,470.477,-6.990,
7.443,533.856,-2.491,
6.192,548.338,-5.953,
7.051,2127.357,-2.347,
7.556,479.546,-2.520,
8.005,2379.107,-7.028,
6.365,435.436,-2.339,
7.298,2245.791,-2.517,
8.697,2030.227,-4.038,
6.117,648.991,-6.930,
7.523,403.142,-2.508,
8.522,628.700,-3.708,
7.147,792.407,-2.793,
8.054,564.607,-3.197,
5.986,2088.607,-4.223,
7.783,2406.364,-5.652,
5.887,676.951,-5.150,
8.646,584.982,-3.284,
7.904,2236.536,-8.468,
8.003,540.203,-7.012,
7.034,453.137,-3.003,
4.632,660.969,-7.518,
7.895,2194.417,-2.398,
6.166,1065.086,-5.581,
6.988,604.559,-6.425,
7.422,407.939,-2.644,
7.556,442.718,-2.842,
7.150,2039.790,-6.495,
5.163,414.887,-5.295,
8.211,478.887,-2.754,
8.364,670.889,-2.869,
7.504,648.018,-7.059,
7.317,511.676,-7.271,
4.309,2159.885,-2.720,
7.218,2460.707,-5.890,
8.739,596.306,-9.135,
6.259,418.309,-2.507,
11.414,2183.566,-4.529,
6.466,543.076,-2.395,
7.430,2154.229,-2.726,
6.081,567.563,-2.926,
6.952,575.651,-2.456,
7.139,594.881,-4.616,
7.088,382.437,-2.494,
6.803,520.523,-2.399,
5.975,651.149,-3.043,
7.866,472.365,-1.983,
6.722,435.671,-3.309,
6.303,629.632,-3.363,
6.097,486.190,-2.718,
4.749,764.464,-6.160,
7.245,503.188,-4.296,
7.282,2766.426,-2.868,
7.181,1078.395,-6.913,
7.149,2169.323,-8.407,
7.370,492.684,-6.895,
8.423,2306.128,-3.053,
6.558,2293.969,-3.557,
8.803,521.827,-11.133,
7.620,356.942,-2.571,
5.942,664.744,-6.217,
9.565,2327.961,-12.358,
7.311,541.685,-4.761,
7.900,447.173,-2.358,
7.566,476.330,-2.214,
6.305,618.161,-3.768,
8.726,880.813,-2.480,
6.459,607.007,-2.813,
6.623,1383.346,-3.179,
6.879,687.839,-3.575,
7.328,2204.923,-9.478,
7.029,2209.555,-3.955,
6.394,1893.496,-5.341,
7.076,771.701,-3.892,
6.526,2282.597,-3.342,
8.240,697.275,-2.261,
5.782,699.302,-3.280,
6.818,2390.248,-2.943,
5.517,522.677,-3.114,
6.649,2206.333,-2.767,
6.571,2049.861,-9.063,
7.831,580.832,-3.728,
7.731,507.517,-2.831,
6.422,618.681,-6.286,
7.572,2132.098,-2.637,
8.271,506.146,-3.487,
6.752,459.680,-5.926,
5.869,2119.970,-2.653,
6.634,2523.485,-7.045,
7.170,561.618,-7.593,
7.802,456.942,-2.917,
7.194,465.809,-2.608,
7.368,1973.885,-8.811,
7.873,2159.716,-3.222,
8.088,2187.332,-7.644,
6.435,550.927,-6.583,
7.541,2289.112,-6.155,
6.938,736.330,-3.137,
6.692,2406.604,-2.572,
7.524,2283.970,-8.323,
6.978,2223.565,-3.390,
6.361,436.063,-2.998,
8.936,620.470,-3.884,
5.345,702.164,-3.243,
5.559,2273.486,-3.305,
5.155,655.315,-2.806,
7.407,1843.029,-11.029,
4.864,2395.896,-3.011,
6.881,805.268,-6.038,
6.412,2402.140,-4.705,
4.949,2489.890,-3.455,
5.411,572.647,-5.127,
4.789,419.138,-2.643,
6.104,535.189,-6.504,
5.215,512.615,-2.377,
6.806,549.394,-3.419,
8.489,1942.373,-5.443,
4.420,2148.903,-3.803,
6.602,2337.104,-3.346,
6.961,2354.454,-8.243,
4.865,533.265,-3.033,
4.376,601.192,-5.020,
5.735,502.826,-2.530,
5.570,457.532,-6.558,
4.633,614.984,-3.117,
6.152,589.666,-2.337,
6.878,2114.051,-5.614,
6.530,2458.792,-7.574,
6.739,696.553,-2.796,
5.612,2092.898,-2.276,
5.981,2278.117,-3.230,
5.433,592.833,-2.817,
7.011,720.051,-6.472,
6.138,586.456,-3.489,
5.690,493.895,-5.588,
6.204,2122.240,-3.259,
5.317,507.526,-4.374,
4.863,641.928,-4.736,
6.891,2098.855,-2.747,
5.953,2388.687,-2.876,
6.849,2147.059,-3.591,
6.287,2338.939,-4.179,
6.361,2374.369,-7.901,
6.094,2232.920,-2.865,
5.041,2527.525,-3.202,
4.808,2221.352,-3.610,
5.035,612.586,-2.586,
8.790,1867.961,-5.279,
